"","VARIABLES","grade","spelling_value","math_value","reading_value"
"1","COVID-19 year (2019/2020)","2","-0.211","-0.285","-0.0931"
"2","COVID-19 year (2019/2020)","2","-0.211","-0.285","-0.18"
"3","COVID-19 year (2019/2020)","2","-0.211","-0.285","-0.137"
"4","COVID-19 year (2019/2020)","2","-0.211","-0.285","-0.205"
"5","COVID-19 year (2019/2020)","2","-0.211","-0.313","-0.0931"
"6","COVID-19 year (2019/2020)","2","-0.211","-0.313","-0.18"
"7","COVID-19 year (2019/2020)","2","-0.211","-0.313","-0.137"
"8","COVID-19 year (2019/2020)","2","-0.211","-0.313","-0.205"
"9","COVID-19 year (2019/2020)","2","-0.211","-0.383","-0.0931"
"10","COVID-19 year (2019/2020)","2","-0.211","-0.383","-0.18"
"11","COVID-19 year (2019/2020)","2","-0.211","-0.383","-0.137"
"12","COVID-19 year (2019/2020)","2","-0.211","-0.383","-0.205"
"13","COVID-19 year (2019/2020)","2","-0.211","-0.378","-0.0931"
"14","COVID-19 year (2019/2020)","2","-0.211","-0.378","-0.18"
"15","COVID-19 year (2019/2020)","2","-0.211","-0.378","-0.137"
"16","COVID-19 year (2019/2020)","2","-0.211","-0.378","-0.205"
"17","COVID-19 year (2019/2020)","3","-0.194","-0.285","-0.0931"
"18","COVID-19 year (2019/2020)","3","-0.194","-0.285","-0.18"
"19","COVID-19 year (2019/2020)","3","-0.194","-0.285","-0.137"
"20","COVID-19 year (2019/2020)","3","-0.194","-0.285","-0.205"
"21","COVID-19 year (2019/2020)","3","-0.194","-0.313","-0.0931"
"22","COVID-19 year (2019/2020)","3","-0.194","-0.313","-0.18"
"23","COVID-19 year (2019/2020)","3","-0.194","-0.313","-0.137"
"24","COVID-19 year (2019/2020)","3","-0.194","-0.313","-0.205"
"25","COVID-19 year (2019/2020)","3","-0.194","-0.383","-0.0931"
"26","COVID-19 year (2019/2020)","3","-0.194","-0.383","-0.18"
"27","COVID-19 year (2019/2020)","3","-0.194","-0.383","-0.137"
"28","COVID-19 year (2019/2020)","3","-0.194","-0.383","-0.205"
"29","COVID-19 year (2019/2020)","3","-0.194","-0.378","-0.0931"
"30","COVID-19 year (2019/2020)","3","-0.194","-0.378","-0.18"
"31","COVID-19 year (2019/2020)","3","-0.194","-0.378","-0.137"
"32","COVID-19 year (2019/2020)","3","-0.194","-0.378","-0.205"
"33","COVID-19 year (2019/2020)","4","-0.146","-0.285","-0.0931"
"34","COVID-19 year (2019/2020)","4","-0.146","-0.285","-0.18"
"35","COVID-19 year (2019/2020)","4","-0.146","-0.285","-0.137"
"36","COVID-19 year (2019/2020)","4","-0.146","-0.285","-0.205"
"37","COVID-19 year (2019/2020)","4","-0.146","-0.313","-0.0931"
"38","COVID-19 year (2019/2020)","4","-0.146","-0.313","-0.18"
"39","COVID-19 year (2019/2020)","4","-0.146","-0.313","-0.137"
"40","COVID-19 year (2019/2020)","4","-0.146","-0.313","-0.205"
"41","COVID-19 year (2019/2020)","4","-0.146","-0.383","-0.0931"
"42","COVID-19 year (2019/2020)","4","-0.146","-0.383","-0.18"
"43","COVID-19 year (2019/2020)","4","-0.146","-0.383","-0.137"
"44","COVID-19 year (2019/2020)","4","-0.146","-0.383","-0.205"
"45","COVID-19 year (2019/2020)","4","-0.146","-0.378","-0.0931"
"46","COVID-19 year (2019/2020)","4","-0.146","-0.378","-0.18"
"47","COVID-19 year (2019/2020)","4","-0.146","-0.378","-0.137"
"48","COVID-19 year (2019/2020)","4","-0.146","-0.378","-0.205"
"49","COVID-19 year (2019/2020)","5","-0.181","-0.285","-0.0931"
"50","COVID-19 year (2019/2020)","5","-0.181","-0.285","-0.18"
"51","COVID-19 year (2019/2020)","5","-0.181","-0.285","-0.137"
"52","COVID-19 year (2019/2020)","5","-0.181","-0.285","-0.205"
"53","COVID-19 year (2019/2020)","5","-0.181","-0.313","-0.0931"
"54","COVID-19 year (2019/2020)","5","-0.181","-0.313","-0.18"
"55","COVID-19 year (2019/2020)","5","-0.181","-0.313","-0.137"
"56","COVID-19 year (2019/2020)","5","-0.181","-0.313","-0.205"
"57","COVID-19 year (2019/2020)","5","-0.181","-0.383","-0.0931"
"58","COVID-19 year (2019/2020)","5","-0.181","-0.383","-0.18"
"59","COVID-19 year (2019/2020)","5","-0.181","-0.383","-0.137"
"60","COVID-19 year (2019/2020)","5","-0.181","-0.383","-0.205"
"61","COVID-19 year (2019/2020)","5","-0.181","-0.378","-0.0931"
"62","COVID-19 year (2019/2020)","5","-0.181","-0.378","-0.18"
"63","COVID-19 year (2019/2020)","5","-0.181","-0.378","-0.137"
"64","COVID-19 year (2019/2020)","5","-0.181","-0.378","-0.205"
"65","Medium","2","-0.0156","-0.0247","-0.0233"
"66","Medium","2","-0.0156","-0.0247","-0.0105"
"67","Medium","2","-0.0156","-0.0247","-0.00709"
"68","Medium","2","-0.0156","-0.0247","0.0186"
"69","Medium","2","-0.0156","-0.00393","-0.0233"
"70","Medium","2","-0.0156","-0.00393","-0.0105"
