"","COVID-19 year (2019/2020)","income_medium","income_high","income_missing","COVID-19 year * Medium income household","COVID-19 year * High income household","COVID-19 year * Household income missing","education_medium","education_high","education_missing","COVID-19 year * Parental education medium","COVID-19 year * Parental education high","COVID-19 year * Parental education missing","subject","grade"
"1","-0.0931","-0.0233","0.0181","0.0498","0.0352","0.00549","-0.0243","0.00413","0.0235","-0.0303","-0.0321","0.0148","0.0536","reading",2
"2","-0.18","-0.0105","0.0326","0.0456","0.0632","0.0516","0.0611","0.0461","0.118","0.0483","-0.053","-0.0253","-0.0418","reading",3
"3","-0.137","-0.00709","0.0291","0.111","0.0403","0.033","-0.0627","0.0362","0.11","0.0301","-0.056","0.0025","-0.0015","reading",4
"4","-0.205","0.0186","0.0327","0.117","0.0397","0.043","0.197","0.0209","0.0467","0.0459","-0.0416","-0.0153","-0.066","reading",5
"5","-0.211","-0.0156","0.0176","0.207","0.0478","0.0911","0.035","-0.018","0.0315","0.0127","0.044","0.066","0.00363","spelling",2
"6","-0.194","-0.0212","-0.0323","0.0962","0.0419","0.0724","0.159","0.0156","0.0329","0.045","-0.0248","0.0421","0.0141","spelling",3
"7","-0.146","-0.0161","-0.0214","0.284","0.00458","0.0647","-0.018","-0.016","-0.0142","-0.0115","0.0286","0.0548","0.0256","spelling",4
"8","-0.181","0.0046","0.0145","0.213","0.0168","0.00992","-0.19","0.0832","0.127","0.068","-0.0484","-0.000224","0.019","spelling",5
"9","-0.285","-0.0247","-0.0427","0.0372","0.0934","0.122","-0.0218","-0.0106","-0.00397","-0.018","0.0428","0.117","0.118","math",2
"10","-0.313","-0.00393","0.00333","0.0135","0.0727","0.094","0.0881","-0.0249","-0.00166","-0.0241","0.0626","0.106","0.133","math",3
"11","-0.383","-0.0162","0.012","0.0834","0.057","0.0441","0.0165","0.00206","0.0061","0.0169","0.0339","0.133","0.0498","math",4
"12","-0.378","-0.0144","-0.00313","0.0846","0.0312","0.0186","-0.0434","0.00977","0.0153","0.0181","0.0162","0.047","0.0501","math",5
