"","...1","VARIABLES","grade","subject","scores_diff"
"1",1,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"2",1,"COVID-19 year (2019/2020)",2,"reading",-0.0931
"3",1,"COVID-19 year (2019/2020)",2,"math",-0.285
"4",2,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"5",2,"COVID-19 year (2019/2020)",2,"reading",-0.18
"6",2,"COVID-19 year (2019/2020)",2,"math",-0.285
"7",3,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"8",3,"COVID-19 year (2019/2020)",2,"reading",-0.137
"9",3,"COVID-19 year (2019/2020)",2,"math",-0.285
"10",4,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"11",4,"COVID-19 year (2019/2020)",2,"reading",-0.205
"12",4,"COVID-19 year (2019/2020)",2,"math",-0.285
"13",5,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"14",5,"COVID-19 year (2019/2020)",2,"reading",-0.0931
"15",5,"COVID-19 year (2019/2020)",2,"math",-0.313
"16",6,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"17",6,"COVID-19 year (2019/2020)",2,"reading",-0.18
"18",6,"COVID-19 year (2019/2020)",2,"math",-0.313
"19",7,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"20",7,"COVID-19 year (2019/2020)",2,"reading",-0.137
"21",7,"COVID-19 year (2019/2020)",2,"math",-0.313
"22",8,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"23",8,"COVID-19 year (2019/2020)",2,"reading",-0.205
"24",8,"COVID-19 year (2019/2020)",2,"math",-0.313
"25",9,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"26",9,"COVID-19 year (2019/2020)",2,"reading",-0.0931
"27",9,"COVID-19 year (2019/2020)",2,"math",-0.383
"28",10,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"29",10,"COVID-19 year (2019/2020)",2,"reading",-0.18
"30",10,"COVID-19 year (2019/2020)",2,"math",-0.383
"31",11,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"32",11,"COVID-19 year (2019/2020)",2,"reading",-0.137
"33",11,"COVID-19 year (2019/2020)",2,"math",-0.383
"34",12,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"35",12,"COVID-19 year (2019/2020)",2,"reading",-0.205
"36",12,"COVID-19 year (2019/2020)",2,"math",-0.383
"37",13,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"38",13,"COVID-19 year (2019/2020)",2,"reading",-0.0931
"39",13,"COVID-19 year (2019/2020)",2,"math",-0.378
"40",14,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"41",14,"COVID-19 year (2019/2020)",2,"reading",-0.18
"42",14,"COVID-19 year (2019/2020)",2,"math",-0.378
"43",15,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"44",15,"COVID-19 year (2019/2020)",2,"reading",-0.137
"45",15,"COVID-19 year (2019/2020)",2,"math",-0.378
"46",16,"COVID-19 year (2019/2020)",2,"spelling",-0.211
"47",16,"COVID-19 year (2019/2020)",2,"reading",-0.205
"48",16,"COVID-19 year (2019/2020)",2,"math",-0.378
"49",17,"COVID-19 year (2019/2020)",3,"spelling",-0.194
"50",17,"COVID-19 year (2019/2020)",3,"reading",-0.0931
